MapPinId,MapPinName,MapPinDescription,Lat,long,TwitterHandle,Address,Website,Instagram,Facebook,IsPublished
123898,Albion River Campground and Marina,"<span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: bold;"">Phone:&nbsp;</span><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">(707) 937-0606</span><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><div style=""font-size: 13px;""><span style=""font-size: 13px; font-weight: bold;""><br></span></div><div style=""font-size: 13px;""><span style=""font-size: 13px; font-weight: bold;"">Service:</span></div></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Restrooms</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Showers</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Carry Down Walkways</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Sewage or Bilge Pumpouts</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Launching Valet Services</div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Campsite</div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Snack Bar</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Convenience Store</div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Swimming Area</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Fishing Tackle Sales</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Ice Vending</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Restaurant</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Fish Cleaning</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Boat Washdown Area</span><br></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Transient Berths or Tie Ups</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Laundry</span><br></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Number of Launch Ramp Lanes Useable at One Time: 2</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Number of Parking Spaces for Cars with Trailers: 20</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Number of Boarding Floats: 6</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Number of Carry Down Walkways: 5</span></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Dry Storage Capacity: 20</span><br></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Total Capacity for Slips or Tie-Ups: 46</div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">Covered Slip or Tie-Up Total Capacity: 46</div></div><p><br></p><div>To report any incorrect information about a facility, please email&nbsp;<a style=""box-sizing: border-box;"" href=""mailto:pubinfo@parks.ca.gov""><u><font color=""#0066cc"">pubinfo@parks.ca.gov</font></u></a>.<span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: bold;""><br></span></div>",39.23365001,-123.7591194,NULL,NULL,http://albionrivercampground.com/,NULL,NULL,1
123899,Red Bluff Diversion Dam,"<div><span style=""font-size: 13px; font-weight: bold;"">Phone: </span><span style=""font-size: 13px;"">(530) 275-1554</span><br></div><div><br></div><div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;"">Service:</span></div></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Restrooms</span></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Carry Down Walkways&nbsp;</div></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Campsites</div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Swimming Area</div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-sizing: border-box;"">pubinfo@parks.ca.gov</a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.</span><br></div>",40.15371958,-122.198468,NULL,"Red Bluff Diversion Dam,S end of Sale Lane,Red Bluff,96080",NULL,NULL,NULL,1
123900,Red Bluff Recreation Area,"<span style=""font-weight: bold; font-size: 13px;"">Phone:&nbsp;</span>(530) 824-5196<div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;"">Service:</span></div></div><div style=""font-size: 13px;""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Restrooms</span></div><div style=""font-size: 13px;""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Showers</span></div><div style=""font-size: 13px;""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Carry Down Walkways</span></div><div style=""font-size: 13px;"">Campsites</div><div style=""font-size: 13px;"">Swimming Area</div><div style=""font-size: 13px;""><br></div><div style=""font-size: 13px;""><br></div><div style=""font-size: 13px;""><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-sizing: border-box;"">pubinfo@parks.ca.gov</a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.</span><br></div>",40.15595795,-122.20607696,NULL,"Red Bluff Recreation Area,1000 Sale Lane,Red Bluff,96080",http://sacramentoriver.org/access_site.php?access_site_id=91,NULL,NULL,1
123901,Red Bud Park BLF,"<span style=""font-weight: bold; font-size: 13px;"">Phone:&nbsp;</span>(707) 994-8201<br><br><div style=""font-size: 13px;""><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold; font-size: 13px;"">Services:</span></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;<a href=""mailto:pubinfo@parks.ca.gov"" style=""font-size: 13px; box-sizing: border-box; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">pubinfo@parks.ca.gov</a>.</div></div>",38.94853737,-122.63736034,NULL,NULL,http://www.clearlake.ca.us/Facilities/Facility/Details/Redbud-Park-4,NULL,NULL,1
123902,Red Hill Marina,"<span style=""font-weight: bold; font-size: 13px;"">Phone:&nbsp;</span>(760) 348-2310<div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;"">Service:</span></div></div><div style=""font-size: 13px;"">Campsites</div><div style=""font-size: 13px;"">Fishing Tackle Sales</div><div style=""font-size: 13px;"">Ice Vending</div><div style=""font-size: 13px;"">Fish Cleaning</div><div style=""font-size: 13px;""><div><br></div><div><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; box-sizing: border-box;""><u><font color=""#0066cc"">pubinfo@parks.ca.gov</font></u></a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.</span><br></div></div>",33.19555357,-115.61434513,NULL,NULL,http://www.campendium.com/red-hill-marina-park,NULL,NULL,1
123903,Redinger Lake,"<span style=""font-weight: bold; font-size: 13px;"">Phone:&nbsp;</span>(559) 877-2218<div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-size: 13px;""><span style=""font-weight: bold; font-size: 13px;"">Service:</span></div></div><div style=""font-size: 13px;""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">Restrooms</span></div><div style=""font-size: 13px;"">Campsites<br><br></div><div><div style=""""><span style=""font-weight: bold;""># of Launch Ramp Lanes Usable at One Time</span>: 1<br></div></div><div style=""""><span style=""font-weight: bold;""># of Boarding Floats</span>: 1<br></div><div style=""""><span style=""font-weight: bold;""># of Parking Spaces for Cars with Trailers</span>: 10<br></div><div style=""""><br></div><div style=""""><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-sizing: border-box;"">pubinfo@parks.ca.gov</a><span style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">.</span><br></div>",37.14519634,-119.44432684,NULL,NULL,http://www.fs.usda.gov/detail/sierra/recreation/?cid=stelprdb5308924,NULL,NULL,1
123904,Redondo Beach Marina,"<div><span style=""font-weight: bold;"">Phone number: </span>(310) 374-3481</div><div><br></div><div><br></div><div><br></div><div><span style=""font-weight: bold;"">Service:</span></div><div>Restrooms</div><div>Showers</div><div>Snack Bar</div><div>Boat Rentals</div><div>Swimming Area</div><div>Fishing Tackle Sales&nbsp;</div><div>Ice Vending</div><div>Transient Berths or Tie Ups</div><div>Water on Dock</div><div>Electric on Dock</div><div>Phone Service on Dock</div><div>Cable TV On Dock</div><div>Laundry&nbsp;</div><div>Minimum Boat Length: 16</div><div>Maximum Boat Length: 65</div><div><br></div>",33.84274811,-118.3921407,NULL,NULL,http://www.rbmarina.com/,NULL,NULL,1
123905,Redondo Beach Small BLF,"<div><span style=""font-weight: bold;"">Phone number: </span>(310) 318-0631</div><div><span style=""font-weight: bold;""><br></span></div><div><span style=""font-weight: bold;"">Service:</span></div><div>Restrooms</div><div><br></div><div><br></div><div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;<a href=""mailto:pubinfo@parks.ca.gov"" style=""font-size: 13px; box-sizing: border-box; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">pubinfo@parks.ca.gov</a>.<span style=""font-weight: bold; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><br></div><div><br></div>",33.84386097,-118.39456659,NULL,NULL,http://beaches.lacounty.gov/redondo-beach/,NULL,NULL,0
123906,Gilardi's Lakeville Marina,"<span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: bold;"">Phone:</span><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;"">&nbsp;(707) 763-1557</span><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><br></div><div style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: normal;""><span style=""font-size: 13px; font-weight: bold;"">Services:</span></div><p><br></p><div>To report any incorrect information about a facility, please email&nbsp;<a style=""box-sizing: border-box;"" href=""mailto:pubinfo@parks.ca.gov""><u><font color=""#0066cc"">pubinfo@parks.ca.gov</font></u></a>.<span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: bold;""></span></div>",38.19719762,-122.5473733,NULL,NULL,NULL,NULL,NULL,1
123907,RiverPoint Landing Marina Resort,"Phone Number:&nbsp;(209) 951-4144<div><br></div><div>Services</div><div><br></div><div>Minimum Boat Length: 24<br></div><div>Maximum Boat Length: 85<br></div><div><br></div><div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;</div></div><div><br></div>",37.97545179,-121.37404498,NULL,NULL,http://www.riverpointlanding.com,NULL,NULL,1
