OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
1,2008145,"Elkhorn Slough Ecological Reserve, Expansion 17 Augmentation",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,N/A,Monterey,1219000,1219000,204, ,1,3959.01456813,1380413.640625,4950.43040275626,ec5ba5f8-e392-4e70-8060-2deafcc9103d
2,2008142,"Elkhorn Slough Ecological Reserve, Expansion 13, Augmentation",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,N/A,Monterey,69000,69000,24, ,2,1749.41335715,131567.80859375,2186.83083397229,182a6a34-8da7-4054-bcfd-8e3d3d744133
3,2008135,Honey Lake Wildlife Area Pipeline,2008/11/20 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Grasslands/Upland Habitat,"Ducks Unlimited, Inc.",Lassen,308000,353712,380,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),3,6645.82581815,2395533.73046875,8725.49347555699,2e89da0a-3915-4740-9b0b-3f3e67ae14ac
4,2008126,"Habitat Restoration, Mill Creek Watershed, Phase II",2008/11/20 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Salmonid/Steelhead Habitat,Smith River Alliance,Del Norte,2869000,6354973,1250,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),4,57887.0461881,180265158.203125,77556.1847559019,cf4f9719-58da-4cf2-a4cc-bb8f69e368e3
5,2008125,"Crestridge Preserve, South Crest, Expansion 3",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitat League,San Diego,250000,485000,30, ,5,2047.38630502,171154.046875,2441.77924159993,ecb73fc3-8e28-4685-ac69-cb20b94670c2
6,2008119,Midland School Oak Woodlands Conservation Easement,2008/11/20 00:00:00+00,Acquisition,Conservation Easement,Oak Woodlands Conservation Program,Oak Woodland/Oak Savannah Habitat,Land Trust For Santa Barbara County,Santa Barbara,4155000,4505000,2725, ,6,19713.9450043,15900314.4804688,24023.2993402277,36929452-ff3b-4df8-8518-a444bc91b82a
7,2008112,"Palo Verde Ecological Reserve, Expansion 2",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,Endangered Habitat League,Riverside,300000,300000,124, ,7,2947.05375282,430226.953125,3547.98375227527,d80dc622-39cb-45bf-9ebf-edccbb0858fe
8,2008073,"Crestridge Preserve, South Crest, Expansion 2",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitat League,San Diego,60500,510000,30, ,8,1435.72335736,166850.87109375,1710.50756324007,64b1e66c-ef9d-45f4-8e85-78a37536e99d
9,2008072,"Crestridge Preserve, South Crest",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitat League,San Diego,60500,510000,32, ,9,1458.83398008,183787.23828125,1738.04388567681,f079931e-4810-415e-98b2-97d40edf49eb
10,2008071,"Crestridge Preserve, South Crest, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitat League,San Diego,60500,1260000,126, ,10,2880.40508541,733866.2421875,3430.30176676358,7e0e8d40-c4da-4524-aa59-01f5c56513f8
